# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_rdf_All[1] c_rdf_All[2] c_rdf_All[3]
5000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 0 0
34 1.005 0 0
35 1.035 0 0
36 1.065 0 0
37 1.095 0 0
38 1.125 0 0
39 1.155 0 0
40 1.185 0 0
41 1.215 0 0
42 1.245 0 0
43 1.275 0 0
44 1.305 0 0
45 1.335 0 0
46 1.365 0 0
47 1.395 0.00049152 4.92642e-06
48 1.425 0.000471043 9.85285e-06
49 1.455 0.00813275 9.85285e-05
50 1.485 0.0203862 0.00033007
51 1.515 0.0520927 0.000945873
52 1.545 0.114605 0.00235483
53 1.575 0.124933 0.00395099
54 1.605 0.09877 0.00526142
55 1.635 0.056177 0.00603487
56 1.665 0.0351938 0.00653736
57 1.695 0.0193101 0.0068231
58 1.725 0.0128581 0.00702015
59 1.755 0.0173912 0.00729603
60 1.785 0.037826 0.00791676
61 1.815 0.0975624 0.00957204
62 1.845 0.213278 0.0133112
63 1.875 0.318604 0.01908
64 1.905 0.35003 0.0256223
65 1.935 0.302729 0.0314601
66 1.965 0.23757 0.0361846
67 1.995 0.176404 0.0398006
68 2.025 0.123863 0.0424165
69 2.055 0.0754257 0.044057
70 2.085 0.0596288 0.0453921
71 2.115 0.0414839 0.0463478
72 2.145 0.0305606 0.047072
73 2.175 0.0295212 0.0477912
74 2.205 0.0285266 0.0485056
75 2.235 0.0413617 0.0495697
76 2.265 0.107768 0.0524171
77 2.295 2.3224 0.115416
78 2.325 7.09753 0.313015
79 2.355 123.74 3.84747
80 2.385 2.93591 3.93348
81 2.415 0.400673 3.94551
82 2.445 0.261934 3.95358
83 2.475 0.215804 3.96039
84 2.505 0.184599 3.96635
85 2.535 0.161501 3.9717
86 2.565 0.128232 3.97604
87 2.595 0.11179 3.97992
88 2.625 0.0982825 3.98341
89 2.655 0.0937671 3.98681
90 2.685 0.0865089 3.99002
91 2.715 0.0829207 3.99317
92 2.745 0.0789601 3.99624
93 2.775 0.0721693 3.9991
94 2.805 0.0741594 4.0021
95 2.835 0.0712891 4.00505
96 2.865 0.0727173 4.00813
97 2.895 0.0736148 4.01131
98 2.925 0.0781498 4.01475
99 2.955 0.0953031 4.01904
100 2.985 0.20279 4.02834
