# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_rdf_C[1] c_rdf_C[2] c_rdf_C[3]
5000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 0 0
34 1.005 0 0
35 1.035 0 0
36 1.065 0 0
37 1.095 0 0
38 1.125 0 0
39 1.155 0 0
40 1.185 0 0
41 1.215 0 0
42 1.245 0 0
43 1.275 0 0
44 1.305 0 0
45 1.335 0 0
46 1.365 0 0
47 1.395 9.87966 0.000698324
48 1.425 9.46807 0.00139665
49 1.455 163.47 0.0139665
50 1.485 409.768 0.0467877
51 1.515 1047.08 0.134078
52 1.545 2303.58 0.333799
53 1.575 2511.18 0.560056
54 1.605 1985.3 0.74581
55 1.635 1129.17 0.855447
56 1.665 707.404 0.926676
57 1.695 381.445 0.96648
58 1.725 206.761 0.988827
59 1.755 124.845 1.00279
60 1.785 84.479 1.01257
61 1.815 29.1819 1.01606
62 1.845 0 1.01606
63 1.875 5.46884 1.01676
64 1.905 0 1.01676
65 1.935 5.13496 1.01746
66 1.965 0 1.01746
67 1.995 0 1.01746
68 2.025 0 1.01746
69 2.055 18.2111 1.02025
70 2.085 123.836 1.0398
71 2.115 141.838 1.06285
72 2.145 150.435 1.08799
73 2.175 182.892 1.11941
74 2.205 209.585 1.15642
75 2.235 180.902 1.18925
76 2.265 228.61 1.23184
77 2.295 219.022 1.27374
78 2.325 245.417 1.32193
79 2.355 273.871 1.37709
80 2.385 280.545 1.43506
81 2.415 290.102 1.49651
82 2.445 283.026 1.55796
83 2.475 282.484 1.62081
84 2.505 410.574 1.71439
85 2.535 403.906 1.80866
86 2.565 376.979 1.89874
87 2.595 416.851 2.0007
88 2.625 393.426 2.09916
89 2.655 425.499 2.2081
90 2.685 338.702 2.29679
91 2.715 375.6 2.39735
92 2.745 436.329 2.51676
93 2.775 386.998 2.625
94 2.805 398.314 2.73883
95 2.835 366.006 2.84567
96 2.865 309.192 2.93785
97 2.895 346.404 3.0433
98 2.925 402.258 3.1683
99 2.955 418.352 3.30098
100 2.985 377.618 3.42318
