# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_rdf_Si[1] c_rdf_Si[2] c_rdf_Si[3]
5000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 0 0
34 1.005 0 0
35 1.035 0 0
36 1.065 0 0
37 1.095 0 0
38 1.125 0 0
39 1.155 0 0
40 1.185 0 0
41 1.215 0 0
42 1.245 0 0
43 1.275 0 0
44 1.305 0 0
45 1.335 0 0
46 1.365 0 0
47 1.395 0 0
48 1.425 0 0
49 1.455 0 0
50 1.485 0 0
51 1.515 0 0
52 1.545 0 0
53 1.575 0 0
54 1.605 0 0
55 1.635 0 0
56 1.665 0 0
57 1.695 0.0237643 0.000349162
58 1.725 0.183559 0.00314246
59 1.755 0.798018 0.0157123
60 1.785 2.39997 0.0548184
61 1.815 6.86025 0.170391
62 1.845 15.2235 0.435405
63 1.875 22.7221 0.843925
64 1.905 24.9847 1.30761
65 1.935 21.5902 1.72102
66 1.965 16.9574 2.05587
67 1.995 12.5915 2.31215
68 2.025 8.84121 2.49756
69 2.055 5.31912 2.61243
70 2.085 3.81647 2.69728
71 2.115 2.44212 2.75314
72 2.145 1.51361 2.78876
73 2.175 1.08246 2.81494
74 2.205 0.603837 2.82996
75 2.235 0.300702 2.83764
76 2.265 0.0399258 2.83869
77 2.295 0.0129629 2.83904
78 2.325 0 2.83904
79 2.355 0 2.83904
80 2.385 0 2.83904
81 2.415 0.0117067 2.83939
82 2.445 0 2.83939
83 2.475 0.100314 2.84253
84 2.505 0.68548 2.86453
85 2.535 0.89247 2.89385
86 2.565 1.02738 2.92842
87 2.595 1.32821 2.97416
88 2.625 1.9619 3.0433
89 2.655 2.13091 3.12011
90 2.685 2.53815 3.21369
91 2.715 2.84361 3.32088
92 2.745 3.37983 3.45112
93 2.775 3.57314 3.59183
94 2.805 3.81819 3.74546
95 2.835 3.7633 3.90014
96 2.865 4.05089 4.07018
97 2.895 3.97552 4.24057
98 2.925 3.71882 4.40328
99 2.955 3.51859 4.56041
100 2.985 3.57083 4.72311
