# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_rdf_C[1] c_rdf_C[2] c_rdf_C[3]
5000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 0 0
34 1.005 0 0
35 1.035 0 0
36 1.065 0 0
37 1.095 0 0
38 1.125 0 0
39 1.155 0 0
40 1.185 0 0
41 1.215 0 0
42 1.245 0 0
43 1.275 0 0
44 1.305 0 0
45 1.335 0 0
46 1.365 0 0
47 1.395 0 0
48 1.425 0 0
49 1.455 0 0
50 1.485 43247.5 0.0689655
51 1.515 20775.9 0.103448
52 1.545 19976.9 0.137931
53 1.575 76892.6 0.275862
54 1.605 37022.5 0.344828
55 1.635 0 0.344828
56 1.665 17201.2 0.37931
57 1.695 16597.7 0.413793
58 1.725 0 0.413793
59 1.755 0 0.413793
60 1.785 0 0.413793
61 1.815 0 0.413793
62 1.845 0 0.413793
63 1.875 0 0.413793
64 1.905 0 0.413793
65 1.935 0 0.413793
66 1.965 0 0.413793
67 1.995 0 0.413793
68 2.025 0 0.413793
69 2.055 0 0.413793
70 2.085 0 0.413793
71 2.115 0 0.413793
72 2.145 0 0.413793
73 2.175 0 0.413793
74 2.205 0 0.413793
75 2.235 0 0.413793
76 2.265 0 0.413793
77 2.295 0 0.413793
78 2.325 8821.59 0.448276
79 2.355 0 0.448276
80 2.385 25150 0.551724
81 2.415 8176.34 0.586207
82 2.445 0 0.586207
83 2.475 0 0.586207
84 2.505 0 0.586207
85 2.535 0 0.586207
86 2.565 14496 0.655172
87 2.595 0 0.655172
88 2.625 0 0.655172
89 2.655 6764.96 0.689655
90 2.685 0 0.689655
91 2.715 0 0.689655
92 2.745 0 0.689655
93 2.775 0 0.689655
94 2.805 6060.79 0.724138
95 2.835 5933.2 0.758621
96 2.865 5809.59 0.793103
97 2.895 0 0.793103
98 2.925 0 0.793103
99 2.955 5461.1 0.827586
100 2.985 5351.88 0.862069
